,번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,폐기물처리업구분명,폐기물처리업별처리구분명,폐기물구분명,허용보관량,허용보관량내용,Unnamed: 34,lat,lon
2004,2005,건설폐기물처리업,09_30_05_P,3530000,353000092201800001,2018-05-09,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 서창동 552-3번지 우성주택,"인천광역시 남동구 매소홀로1088번길 28, 204호 (서창동, 우성주택)",21604,태극환경,2018-10-26 13:58:19,U,2018-10-28 02:37:53,,177268.600846808,437270.022746923,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.743937746607,37.4372912055876
2005,2006,건설폐기물처리업,09_30_05_P,3530000,353000092201500002,2015-08-20,,1,영업/정상,BBBB,영업,,,,,032-422-5754,,405-825,인천광역시 남동구 논현동 642-1번지,"인천광역시 남동구 논현로46번길 22, A동 23층 2304호 (논현동, 코아루파크)",405-825,㈜해양산업개발,2017-10-24 17:26:39,I,2018-08-31 23:59:59,,174213.630304773,433209.288608181,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.709560592478,37.400622937881
2009,2010,건설폐기물처리업,09_30_05_P,3530000,353000092201700004,2017-11-09,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 운연동 348-2,,,대우,2023-09-20 16:53:59,U,2023-09-22 02:40:00,,179543.440340557,437063.962049043,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.769647698776,37.4354877467956
2011,2012,건설폐기물처리업,09_30_05_P,3530000,353000092200900008,2009-11-06,,1,영업/정상,BBBB,영업,,,,,,,405-221,인천광역시 남동구 구월동 1133-10번지,인천광역시 남동구 예술로226번길 34  (구월동),,(주)초아토건,2009-11-06 17:48:55,I,2018-08-31 23:59:59,,173713.11797727,439129.006657463,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.70369675679,37.4539453579534
2012,2013,건설폐기물처리업,09_30_05_P,3530000,353000092200900010,2009-11-16,,1,영업/정상,BBBB,영업,,,,,0324624230,,405-241,인천광역시 남동구 만수동 884-302번지,,,(주)영일건기,2009-11-16 18:05:39,I,2018-08-31 23:59:59,,,,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,,
2013,2014,건설폐기물처리업,09_30_05_P,3530000,353000092201200001,2012-12-26,,1,영업/정상,BBBB,영업,,,,,421-0497,,405-310,인천광역시 남동구 고잔동 530-1번지,인천광역시 남동구 논현고잔로 56 (고잔동),405-816,에스지개발(주),2012-12-26 09:42:48,I,2018-08-31 23:59:59,,174439.647124725,431823.914738385,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.712161416173,37.3881477483591
2044,2045,건설폐기물처리업,09_30_05_P,3530000,353000092200900001,2009-03-03,,1,영업/정상,BBBB,영업,,,,,,,405-221,인천광역시 남동구 구월동 1179-3번지,인천광역시 남동구 인하로543번길 12  (구월동),,(주)배성산업개발,2009-08-04 17:33:54,I,2018-08-31 23:59:59,,174047.287052754,437965.352943012,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.707514552594,37.4434703452054
2465,2466,건설폐기물처리업,09_30_05_P,3530000,353000092202400001,2024-04-30,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 운연동 257-6,인천광역시 남동구 음실서로 29 (운연동),21601,건영산업,2024-04-30 15:43:04,U,2024-05-02 02:40:00,,179164.624284491,437277.526923695,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.765361346017,37.4374035210673
2654,2655,건설폐기물처리업,09_30_05_P,3530000,353000092202000001,2020-09-29,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 구월동 1129-19 이노프라자텔 402-7호,"인천광역시 남동구 미래로 17, 이노프라자텔 4층 2-7호 (구월동)",21558,써니환경,2023-04-21 11:28:31,U,2023-04-23 02:40:00,,173747.870379682,438874.98019566,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.704098626528,37.4516575286668
2662,2663,건설폐기물처리업,09_30_05_P,3530000,353000092202100001,2021-11-10,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 간석동 617-111,"인천광역시 남동구 석정로497번길 83, 2층 (간석동)",21502,(주)상신종합개발,2021-11-10 18:07:50,U,2021-11-12 02:40:00,,172722.40460261,440858.815874272,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.692435829921,37.46950205437
2679,2680,건설폐기물처리업,09_30_05_P,3530000,353000092202100003,2021-12-23,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 운연동 259-5 명성통신,"인천광역시 남동구 음실서로 37, 명성통신 (운연동)",21601,(주)태진환경산업,2022-12-05 11:54:37,U,2022-12-07 02:40:00,,179188.994944692,437222.513031153,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.765638258984,37.4369084227775
2981,2982,건설폐기물처리업,09_30_05_P,3530000,353000092201800002,2018-09-09,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 구월동 1136-11번지 뉴센타빌딩,"인천광역시 남동구 정각로 18, 뉴센타빌딩 3층 (구월동)",21557,태리환경,2018-09-09 16:34:34,U,2018-09-09 23:59:59,,173727.316026224,439218.000052084,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.703854082022,37.4547475610354
3014,3015,건설폐기물처리업,09_30_05_P,3530000,353000092202000002,2021-01-14,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 구월동 1129-19 이노프라자텔,"인천광역시 남동구 미래로 17, 이노프라자텔 (구월동)",21558,(주)건도산업,2023-05-25 14:53:56,U,2023-05-27 02:40:00,,173747.870379682,438874.98019566,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.703036728655,37.4519995016435
3542,3543,건설폐기물처리업,09_30_05_P,3530000,353000092202000003,2020-11-30,,1,영업/정상,BBBB,영업,,,,,032-426-2006,,,인천광역시 남동구 논현동 647-4 (주)위스코,인천광역시 남동구 논현로26번길 15 (주)위스코 (논현동),21641,(주)동천산업개발,2022-04-08 17:15:22,U,2022-04-12 02:40:00,,174196.506524518,433394.503539204,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.709360796621,37.4022912226017
4792,4793,건설폐기물처리업,09_30_05_P,3530000,353000092202200001,2022-06-10,,1,영업/정상,BBBB,영업,,,,,070-7701-7931,,,인천광역시 남동구 구월동 1292-1,인천광역시 남동구 인주대로 750 (구월동),21588,(주)엔지오기업장애인협회,2022-06-10 09:46:58,U,2022-06-12 02:40:00,,175199.061455684,438549.362866129,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.720510333428,37.4487646889417
