,번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,Unnamed: 37,lat,lon
28841,28842,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900008,2019-08-28,,1,영업/정상,11,영업,,,,,032-816-6161,,,인천광역시 남동구 고잔동 246-1,인천광역시 남동구 논현고잔로135번길 30-13 (고잔동),21686,(주)신원에스엔제이,2021-03-23 10:30:36,U,2021-03-25 02:40:00,"목재 보존, 방부처리, 도장 및 유사 처리업",174307.572485429,432572.260365214,대기배출업소관리,"목재 보존, 방부처리, 도장 및 유사 처리업",4종,,,0.0,,0.0,8368100844.0,,126.710666843432,37.3949513946387
29006,29007,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900006,2019-07-17,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 462-12번지,인천광역시 남동구 논현고잔로54번길 66 (고잔동),21682,신우금속,2019-07-17 09:42:21,I,2019-07-19 02:21:45,,174674.768219631,431675.525465067,대기배출업소관리,,4종,,8.0,300.0,8.0,300.0,1233645750.0,,126.714821232328,37.3868163575449
29121,29122,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900007,2019-07-27,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 246-129번지,,,현대신성모터스(주),2020-05-12 15:51:38,U,2020-05-14 02:40:00,,174382.435477556,432640.695096161,대기배출업소관리,,5종,,8.0,300.0,8.0,300.0,1318665067.0,,126.711486862505,37.3955045516462
29981,29982,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900016,2019-12-10,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 246-81,인천광역시 남동구 청능대로468번길 58-20 (고잔동),21687,(주)록원,2023-11-24 10:36:25,U,2023-11-26 02:40:00,,174272.622984638,432932.546415259,대기배출업소관리,,5종,,,0.0,,0.0,,,126.710233060728,37.3980938071377
30074,30075,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900017,2019-12-03,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 162-2번지,인천광역시 남동구 고잔로 6 (고잔동),21677,서한환경개발,2019-12-17 10:54:40,I,2019-12-19 00:23:46,,174709.673576685,432634.994873956,대기배출업소관리,,5종,,,0.0,,0.0,2848601348.0,,126.71518249875,37.3954621528759
30186,30187,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900009,2019-11-01,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 308-16번지,인천광역시 남동구 논현고잔로128번길 68-28 (고잔동),21677,(주)진광하이켐,2019-11-01 17:42:34,I,2019-11-03 00:23:22,접착제 및 젤라틴 제조업,174591.908868913,432154.743630035,대기배출업소관리,접착제 및 젤라틴 제조업,5종,접착제,,0.0,,0.0,1318664641.0,,126.713875895292,37.39111923827
30187,30188,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900010,2019-11-01,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 308-16번지,인천광역시 남동구 논현고잔로128번길 68-28 (고잔동),21677,(주)진광하이켐,2019-11-01 17:45:11,I,2019-11-03 00:23:22,접착제 및 젤라틴 제조업,174591.908868913,432154.743630035,대기배출업소관리,접착제 및 젤라틴 제조업,5종,,,0.0,,0.0,1318664641.0,,126.713875895292,37.39111923827
30188,30189,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900011,2019-11-01,,1,영업/정상,11,영업,,,,,0324463730,,,인천광역시 남동구 고잔동 181번지,인천광역시 남동구 논현고잔로130번길 14 (고잔동),21677,(주)에이치디메탈 지점,2019-11-01 17:58:48,I,2019-11-03 00:23:22,,174678.760813978,432477.444447894,대기배출업소관리,,5종,,,0.0,,0.0,1098543977.0,,126.714838806968,37.3940417687027
30195,30196,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900014,2019-12-02,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 구월동 1455번지,,,롯데쇼핑(주)인천점,2019-12-02 14:13:38,I,2019-12-04 00:23:27,,173523.274957491,438366.029400914,대기배출업소관리,,4종,,,0.0,,0.0,,,126.701578633231,37.4470654987355
30276,30277,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202000001,2020-01-01,,1,영업/정상,11,영업,,,,,032-437-3455,,,인천광역시 남동구 고잔동 224-3번지,인천광역시 남동구 논현고잔로 119 (고잔동),21686,모던엠보롤,2020-01-03 16:51:23,U,2020-01-05 02:40:00,금속 성형기계 제조업,174500.79259027,432465.84013078,대기배출업소관리,금속 성형기계 제조업,5종,금형 및 금속물질 성형,,0.0,,0.0,1233222410.0,,126.712829747105,37.393933199375
30279,30280,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900013,2019-11-07,,1,영업/정상,11,영업,,,,,032-465-7233,,,인천광역시 남동구 운연동 295,인천광역시 남동구 음실로 33 (운연동),21601,신호모터스,2023-12-06 17:10:51,U,2023-12-08 02:40:00,,179292.158800755,437603.28528154,대기배출업소관리,,5종,,,0.0,,0.0,3034000088.0,,126.766793032489,37.4403406850914
30336,30337,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900012,2019-11-06,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 논현동 442-84,인천광역시 남동구 남동대로262번길 40 (논현동),21642,주식회사 삼기레미콘,2020-11-05 10:51:27,U,2020-11-07 02:40:00,레미콘 제조업,173555.567679761,433848.149310615,대기배출업소관리,레미콘 제조업,4종,,,0.0,,0.0,2078199568.0,,126.702306484252,37.4060732632537
30356,30357,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900015,2019-12-03,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 308-16,인천광역시 남동구 논현고잔로128번길 68-28 (고잔동),,(주)진광하이켐,2020-07-02 16:53:37,U,2020-07-04 02:40:00,접착제 및 젤라틴 제조업,174591.908868913,432154.743630035,대기배출업소관리,접착제 및 젤라틴 제조업,5종,,,0.0,,0.0,1318664641.0,,126.713875895292,37.39111923827
31313,31314,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001174,2020-03-24,,1,영업/정상,11,영업,,,,,032-429-9240,,,인천광역시 남동구 구월동 1139-7,인천광역시 남동구 남동대로799번길 34 (구월동),21555,㈜에스엘플랫폼구월지웰시티푸르지오,2022-11-16 17:48:40,U,2022-11-18 02:40:00,부동산 임대업,174014.837508448,439163.467530452,대기배출업소관리,부동산 임대업,5종,,,0.0,,0.0,5928501470.0,,,
31507,31508,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202000002,2020-01-13,,1,영업/정상,11,영업,,,,,032-435-9321,,,인천광역시 남동구 고잔동 390-8 (주)엠알메탈로 1공장,인천광역시 남동구 앵고개로719번길 89 (주)엠알메탈로 (고잔동),21678,(주)엠알메탈로,2021-05-13 17:01:14,U,2021-05-15 02:40:00,지정 폐기물 처리업,175012.956531834,432308.788584319,대기배출업소관리,지정 폐기물 처리업,5종,,,0.0,,0.0,1318636387.0,,126.71861495212,37.3925625106521
31544,31545,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001173,2020-03-04,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 간석동 616-93번지,"인천광역시 남동구 방축로 408, 1동, 2동 (간석동)",21500,(주)인천차,2020-03-04 11:55:52,I,2020-03-06 00:23:23,자동차 종합 수리업,172267.742706739,441022.29515322,대기배출업소관리,자동차 종합 수리업,5종,,,0.0,,0.0,1328701423.0,,126.687290127236,37.470961425307
31693,31694,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202200001,2022-01-02,,1,영업/정상,11,영업,,,,,0324466866,,,인천광역시 남동구 고잔동 524-8,인천광역시 남동구 논현고잔로54번길 12-2 (고잔동),21682,(주)세종그린텍,2022-01-04 11:19:23,I,2022-01-06 00:22:40,비금속원료 재생업,174412.551678846,431711.943987556,대기배출업소관리,비금속원료 재생업,5종,,,0.0,,1.0,3818800192.0,,126.711913383339,37.3871890895193
31950,31951,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100018,2021-12-20,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 333,인천광역시 남동구 앵고개로 688 (고잔동),21682,진영모터스,2022-01-28 15:00:55,U,2022-01-30 02:40:00,자동차 종합 수리업,174622.454279144,431878.365239165,대기배출업소관리,자동차 종합 수리업,5종,,,0.0,,0.0,8292201019.0,,126.714199547816,37.3886481627251
32479,32480,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202300001,2023-04-05,,1,영업/정상,11,영업,,,,,0325162974,,,인천광역시 남동구 간석동 1-215 온세화학(onse chemical),"인천광역시 남동구 만월북로 72-2, 온세화학(onse chemical) (간석동)",21515,온세화학(빅본),2023-05-09 15:33:39,U,2023-05-11 02:40:00,산업용 비경화고무제품 제조업,175016.113253575,441267.685835774,대기배출업소관리,산업용 비경화고무제품 제조업,,,7.0,240.0,7.0,240.0,1210457680.0,,126.718380683887,37.4732204123432
33009,33010,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001177,2020-05-06,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 간석동 1-434번지,인천광역시 남동구 만월북로44번길 8-45 (간석동),21515,(주)정광알앤아이,2020-05-22 16:09:06,U,2020-05-24 02:40:00,,175123.002483539,440948.313701417,대기배출업소관리,,5종,고무제품,,0.0,,0.0,1828100112.0,,126.719573800863,37.4703763362046
33243,33244,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001178,2020-06-22,,1,영업/정상,11,영업,,,,,032-423-8551,,,인천광역시 남동구 고잔동 139,"인천광역시 남동구 청능대로484번길 36-20, 오동 (고잔동)",21686,(주)가보금속,2022-09-08 13:17:13,U,2022-09-11 02:40:00,지정외 폐기물 처리업,174663.859415542,432858.388493797,대기배출업소관리,지정외 폐기물 처리업,5종,,,0.0,,0.0,7888700377.0,,126.714683806859,37.3974242710251
33338,33339,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100015,2021-10-18,,1,영업/정상,11,영업,,,,,032-585-2150,,,인천광역시 남동구 고잔동 246-1 (주)예림임업,인천광역시 남동구 논현고잔로135번길 29 (주)예림임업 (고잔동),21686,㈜예림키친,2023-05-12 16:53:52,U,2023-05-14 02:40:00,목재문 및 관련제품 제조업,174307.572485429,432572.260365214,대기배출업소관리,목재문 및 관련제품 제조업,5종,,,0.0,,0.0,2418802043.0,,126.710666843432,37.3949513946387
33498,33499,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100016,2021-12-01,,1,영업/정상,11,영업,,,,,032-515-4633,,,인천광역시 남동구 간석동 1-152,인천광역시 남동구 만월북로 87 (간석동),21515,상진테크,2021-12-01 13:34:48,I,2021-12-03 00:22:43,알루미늄주물 주조업,174922.949462527,441411.744072518,대기배출업소관리,알루미늄주물 주조업,5종,,,0.0,,300.0,1312251159.0,,126.717292229331,37.4745462582386
33822,33823,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100014,2021-10-08,,1,영업/정상,11,영업,,,,,033-473-1588,,,인천광역시 남동구 운연동 281-3,인천광역시 남동구 운연로 150 (운연동),21601,(주)디에이치바이오 인천지점,2021-10-15 09:06:54,U,2021-10-17 02:40:00,지정외 폐기물 처리업,179277.429705831,437356.594927778,대기배출업소관리,지정외 폐기물 처리업,5종,,,0.0,,0.0,2288702174.0,,126.766631026996,37.4381094560455
33827,33828,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100013,2021-10-08,,1,영업/정상,11,영업,,,,,032-461-2052,,,인천광역시 남동구 만수동 13 만수주공4단지아파트,"인천광역시 남동구 백범로124번길 126 (만수동, 만수주공4단지아파트)",21527,만수주공4단지아파트입주자대표회의,2021-10-08 11:02:48,I,2021-10-10 00:22:47,주거용 부동산 관리업,176795.163841616,439590.753337663,대기배출업소관리,주거용 부동산 관리업,4종,,,0.0,,0.0,1318280319.0,,126.738489301898,37.4580210157397
33903,33904,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100017,2021-12-08,,1,영업/정상,11,영업,,,,,032-525-4633,,,인천광역시 남동구 간석동 1-819,인천광역시 남동구 만월북로2번길 11-20 (간석동),21515,상진금속,2021-12-13 16:45:53,U,2021-12-15 02:40:00,알루미늄주물 주조업,175241.558350459,440825.791028715,대기배출업소관리,알루미늄주물 주조업,5종,,,0.0,,0.0,1390699521.0,,126.72096206375,37.4693221997535
34257,34258,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202400002,2024-02-14,,1,영업/정상,11,영업,,,,,0324286767,,,인천광역시 남동구 고잔동 139,인천광역시 남동구 청능대로484번길 30 (고잔동),21686,국제케미칼,2024-04-01 12:34:15,U,2024-04-03 02:40:00,"하수처리, 폐기물처리 및 청소관련 서비스업",174663.859415542,432858.388493797,대기배출업소관리,"하수처리, 폐기물처리 및 청소관련 서비스업",4종,,8.0,300.0,8.0,300.0,3228102644.0,,126.714683806859,37.3974242710251
34270,34271,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202400003,2024-02-28,,1,영업/정상,11,영업,,,,,032-422-4585,,,인천광역시 남동구 고잔동 530-1 (주)두성건설,인천광역시 남동구 논현고잔로 56 (고잔동),21682,(주)와이에이치물산,2024-03-13 13:37:55,U,2024-03-16 02:40:00,지정외 폐기물 처리업,174439.647124725,431823.914738385,대기배출업소관리,지정외 폐기물 처리업,5종,,8.0,300.0,8.0,300.0,5688601019.0,,126.712161416173,37.3881477483591
34352,34353,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202400004,2024-03-20,,1,영업/정상,11,영업,,,,,032-715-8463,,,인천광역시 남동구 고잔동 198-1,인천광역시 남동구 고잔로 38 (고잔동),21677,메타일렉트로(주),2024-04-23 10:29:35,U,2024-04-25 02:40:00,"폐기물 수집운반, 처리 및 원료재생업",174848.894644737,432412.956629687,대기배출업소관리,"폐기물 수집운반, 처리 및 원료재생업",4종,"금, 은 등",8.0,300.0,8.0,300.0,7988102031.0,,126.716777837642,37.3934649109117
34366,34367,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202400001,2024-01-17,,1,영업/정상,11,영업,,,,,818-2295,,,인천광역시 남동구 고잔동 372-4,인천광역시 남동구 고잔로73번길 37 (고잔동),21678,(주)현대에코텍 고잔사업소,2024-01-26 17:47:06,U,2024-01-28 02:40:00,"폐기물 수집운반, 처리 및 원료재생업",175045.076237773,432076.993998167,대기배출업소관리,"폐기물 수집운반, 처리 및 원료재생업",3종,,8.0,300.0,8.0,300.0,1398122655.0,,126.71891109313,37.3902520089619
34832,34833,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001179,2020-07-13,,1,영업/정상,11,영업,,,,,0328120977,,,인천광역시 남동구 논현동 435-1,인천광역시 남동구 은봉로105번길 76 (논현동),405-848,(주)에이제이테크,2023-05-01 17:29:14,U,2023-05-03 02:40:00,토목공사 및 유사용 기계장비 제조업,173816.702817902,434410.751828985,대기배출업소관리,토목공사 및 유사용 기계장비 제조업,5종,,,0.0,,0.0,1318602927.0,,126.705035395327,37.4114377294122
34833,34834,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001181,2020-07-13,,1,영업/정상,11,영업,,,,,032-428-2080,,,인천광역시 남동구 구월동 1130 CGV 홈플러스,"인천광역시 남동구 예술로 198, CGV 홈플러스 (구월동)",21558,홈플러스(주)구월점,2020-11-24 13:07:20,U,2020-11-26 02:40:00,,173552.310556009,438905.868022571,대기배출업소관리,,5종,,,0.0,,0.0,,,126.701887395261,37.4519302937548
34834,34835,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202001180,2020-07-13,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 간석동 616-3 홈플러스,"인천광역시 남동구 경원대로 971, 홈플러스 (간석동)",21500,홈플러스(주) 간석점,2020-12-04 11:32:13,U,2020-12-06 02:40:00,대형 종합 소매업,172419.743721009,440865.63488269,대기배출업소관리,대형 종합 소매업,4종,,,0.0,,0.0,2208160348.0,,126.688896532259,37.4694813463609
35548,35549,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100011,2021-07-07,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 141-12,"인천광역시 남동구 청능대로484번길 28-14, B동 (고잔동)",21686,㈜세바엔텍,2021-07-08 14:25:04,I,2021-07-10 00:22:52,금속원료 재생업,174577.801184168,432898.523705347,대기배출업소관리,금속원료 재생업,5종,,,0.0,,0.0,5608702200.0,,126.713684245951,37.3978329898034
35549,35550,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100010,2021-06-28,,1,영업/정상,11,영업,,,,,032-572-6866,,,인천광역시 남동구 고잔동 460-22,인천광역시 남동구 논현고잔로54번길 84-1 (고잔동),21682,주식회사 엔피지엠코리아,2021-07-14 15:03:51,U,2021-07-16 02:40:00,금속원료 재생업,174792.625631997,431640.362506686,대기배출업소관리,금속원료 재생업,5종,,,0.0,,0.0,3298101971.0,,126.716145451468,37.3864822014425
35621,35622,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100012,2021-09-08,,1,영업/정상,11,영업,,,,,032-815-8718,,,인천광역시 남동구 고잔동 476-15,"인천광역시 남동구 논현고잔로54번길 53-10, A동 (고잔동)",21682,대호샌딩,2021-09-24 16:48:31,U,2021-09-26 02:40:00,그외 기타 금속가공업,174692.875276856,431781.785046902,대기배출업소관리,그외 기타 금속가공업,5종,,,0.0,,0.0,1311190520.0,,126.715025447744,37.3878154507385
35734,35735,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900018,2019-12-03,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 389-8,인천광역시 남동구 고잔로 47-1 (고잔동),21678,명민산업(주),2022-10-17 10:39:04,U,2022-10-19 02:40:00,지정외 폐기물 처리업,174920.418425813,432300.849177299,대기배출업소관리,지정외 폐기물 처리업,5종,,,0.0,,0.0,1238198242.0,,126.717626460038,37.3924517616642
36289,36290,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202201236,2022-12-21,,1,영업/정상,11,영업,,,,,032-716-9218,,,인천광역시 남동구 고잔동 409-6,인천광역시 남동구 고잔로51번길 32 (고잔동),21678,(주)아이엠코퍼레이션,2023-03-13 17:21:40,U,2023-03-15 02:40:00,지정외 폐기물 처리업,175036.929153345,432193.898677451,대기배출업소관리,지정외 폐기물 처리업,5종,,,0.0,,300.0,,,126.718909228914,37.3915073955954
36317,36318,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202201235,2022-11-29,,1,영업/정상,11,영업,,,,,032-442-4531,,,인천광역시 남동구 구월동 1146-10 삼성생명 구월동빌딩,"인천광역시 남동구 인주대로 611, 삼성생명 구월동빌딩 (구월동)",21556,(주)아이비에스인더스트리,2022-12-02 16:20:23,U,2022-12-04 02:40:00,부동산 임대업,173855.670486985,438712.625597627,대기배출업소관리,부동산 임대업,5종,,,0.0,,270.0,1028123496.0,,126.705042588111,37.4506377820551
36592,36593,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202201234,2022-11-23,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 간석동 1-123,인천광역시 남동구 만월북로112번길 70 (간석동),21515,(주)우신,2022-11-30 17:25:43,U,2022-12-02 02:40:00,주형 및 금형 제조업,174968.564111145,441422.723530243,대기배출업소관리,주형 및 금형 제조업,5종,,,0.0,,250.0,1318644776.0,,126.717804343307,37.4746382138275
37797,37798,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202100009,2021-05-04,,1,영업/정상,11,영업,,,,,4603557,,,인천광역시 남동구 구월동 1198,"인천광역시 남동구 남동대로774번길 21 (구월동, 가천의과대학교길병원)",21565,(의료)길의료재단,2021-05-04 14:44:08,I,2021-05-06 00:22:56,,174200.692948602,438895.603179833,대기배출업소관리,,3종,,,0.0,,0.0,1398200376.0,,126.709215466962,37.4518561074874
41142,41143,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021200500016,2005-12-08,,1,영업/정상,11,영업,,,,,876-2544,,,인천광역시 남동구 간석동 616-91번지,인천광역시 남동구 방축로 404 (간석동),,간석현대자동차공업사,2019-02-28 16:56:28,U,2019-03-02 02:40:00,자동차 및 이륜 자동차 수리업,172240.132471128,441041.899174981,대기배출업소관리,자동차 및 이륜 자동차 수리업,5종,,,0.0,,0.0,1312690219.0,,126.686977275872,37.4711371943334
41143,41144,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021200500017,2005-12-14,,1,영업/정상,11,영업,,,,,0324467977,,,인천광역시 남동구 고잔동 350-13번지,인천광역시 남동구 고잔로 83-14  (고잔동),,썬테크,2007-12-13 14:19:49,I,2018-10-04 11:12:49,,174908.519813906,431924.723342061,대기배출업소관리,,5종,,,0.0,,0.0,,,126.717452487779,37.3890688272366
