,연번,상호,대표자,업종,소재지,연락처,데이터기준일,lat,lon
44,45,사단법인 한국장애인아이티고용협회 인천지점,김용일,재활용업(종합),인천광역시 남동구 고잔로 41번길 37,,2023-09-16,126.719397485973,37.3932740132198
45,46,㈜서한환경개발,김서한,재활용업(종합),인천광역시 남동구 고잔로 6,,2023-09-16,126.71504012525,37.395512897645
46,47,에스지금속(주),임형진,재활용업(종합),인천광역시 남동구 청능대로484번길 30(고잔동 139 M동),032-431-8690,2023-09-16,126.714319758885,37.3979455324344
47,48,㈜록원,김인태,재활용업(종합),인천광역시 남동구 청능대로468번길 58-20(고잔동),,2023-09-16,126.710225333163,37.3981942517787
48,49,(주)지에이치리사이클링,이예은,재활용업(종합),"인천광역시 남동구 청능대로534번길 2(고잔동 86-8, 6동)",,2023-09-16,126.719207709205,37.3993739125746
49,50,(주)에스쓰리알,서종현,재활용업(종합),인천광역시 남동구 음실서로 66,032-472-0062,2023-09-16,126.764757114864,37.4346024193585
50,51,케이비골드,김현웅외1,재활용업(종합),"인천광역시 남동구 남동대로 284 (산단 44B-10L) 나동 303,304",032-208-0072,2023-09-16,126.701747382141,37.4093524571185
51,52,(주)에이치에스티 지점,신호성,재활용업(종합),인천광역시 남동구 고잔로 54,032-822-9677,2023-09-16,126.716627104041,37.3920478766802
52,53,호미메탈,김용순,재활용업(종합),인천광역시 남동구 고잔로 63-12 (고잔동),032-422-4585,2023-09-16,126.717536018926,37.3907325801057
53,54,씨제이금속,박양철,재활용업(종합),인천광역시 남동구 논현고잔로54번길 66-2,,2023-09-16,126.715087097901,37.3868020414487
54,55,㈜에스쓰리알 남동지사,서종현,재활용업(종합),인천광역시 남동구 음실로 67,032-472-5670,2023-09-16,126.767302962694,37.4374330382865
55,56,자원순환센터,나점수,재활용업(종합),인천광역시 남동구 고잔로15번길 10,032-423-9486,2023-09-16,126.71617989782,37.3957959459162
56,57,㈜세바엔텍,이진택,재활용업(종합),인천광역시 남동구 청능대로484번길 28-14,,2023-09-16,126.713634025206,37.3978533213143
57,58,㈜탑이엔에스 제2공장,대표이사,재활용업(종합),인천광역시 남동구 청능대로534번길 36-2,,2023-09-16,126.719634996951,37.3981798152343
58,59,㈜포즈,대표이사,재활용업(종합),인천광역시 남동구 앵고개로697번길 134,,2023-09-16,126.716651808251,37.3945151075141
59,60,새명(유),배형수,재활용업(종합),인천광역시 남동구 고잔로41번길 41,,2023-09-16,126.71981838677,37.3931485081069
60,61,지엔,노정민,재활용업(종합),인천광역시 남동구 고잔로41번길 23,,2023-09-16,126.718447239081,37.3930799274242
61,62,이든산업,정주영,재활용업(종합),인천광역시 남동구 논현고잔로54번길 66-2,,2023-09-16,126.715087097901,37.3868020414487
62,63,㈜아이엠코퍼레이션,이우용,재활용업(종합),"인천광역시 남동구 고잔로51번길 32, 제2동(고잔동)",032-716-9218,2023-09-16,126.718997090776,37.3915967152771
63,64,서울화학경금속㈜,한경희,재활용업(중간),인천광역시 남동구 남동대로155번길 6 (고잔동),032-811-9481,2023-09-16,,
64,65,가온피엠씨,김기정,재활용업(중간),인천광역시 남동구 승기천로 28 (고잔동),032-813-6593,2023-09-16,126.676746135346,37.3979279833932
65,66,주영산업,이점식,재활용업(중간),인천광역시 남동구 남동서로23번길 114-1 (고잔동),032-816-3015,2023-09-16,126.676642648328,37.3972533785829
66,67,퍼펙트환경㈜,김진흥,재활용업(중간),인천광역시 남동구 논현고잔로130번길 19 (고잔동),032-441-3272,2023-09-16,,
67,68,㈜그린메탈,심재영,재활용업(중간),인천광역시 남동구 논현고잔로 142-1,032-446-1751,2023-09-16,126.7145888713,37.3952984479842
68,69,에스지금속(주),임형진,재활용업(중간),인천광역시 남동구 청능대로484번길 30(고잔동 139 M동),032-431-8690,2023-09-16,126.714319758885,37.3979455324344
69,70,㈜대경이노텍,허동욱외1인,재활용업(중간),인천광역시 남동구 음실서로 61-2 (운연동),032-467-4872,2023-09-16,126.765717319095,37.43438249672
70,71,㈜나노메탈,엄정식,재활용업(중간),인천광역시 남동구 고잔로41번길 18-11(고잔동),032-431-8221,2023-09-16,126.717909230337,37.3927832909752
71,72,(주)미래엔텍(지점),이종탁,재활용업(중간),인천광역시 남동구 고잔로 50,032-423-8272,2023-09-16,126.716738663087,37.3925914588219
72,73,넥스유지,홍용표,재활용업(중간),인천광역시 남동구 고잔로61번길 17,032-425-1485,2023-09-16,126.718158681826,37.3914578550648
73,74,제일금속,이창주,재활용업(중간),인천광역시 남동구 고잔로51번길 46-1 (고잔동),032-424-2362,2023-09-16,126.719386202074,37.3913024651881
74,75,대유피지알,박유창,재활용업(중간),인천광역시 남동구 앵고개로697번길 92 (고잔동),,2023-09-16,126.715836507611,37.3929441158267
75,76,㈜유진상사,양원길,재활용업(중간),인천광역시 남동구 고잔로51번길 26 (고잔동),032-446-5117,2023-09-16,126.718386788766,37.3917908748245
76,77,㈜에스제이바이오,김청운,재활용업(중간),인천광역시 남동구 음실로 97,032-465-6017,2023-09-16,126.76637760703,37.4348644045228
77,78,㈜인천리사이클링,이기중,재활용업(중간),인천광역시 남동구 청능대로468번길 23,032-446-2578,2023-09-16,126.711254561105,37.397918535015
78,79,㈜동명오앤에프,신익철,재활용업(중간),인천광역시 남동구 음실서로 63,032-431-9537,2023-09-16,126.765550514223,37.4342112436021
79,80,㈜이알지서비스,심연규,재활용업(중간),인천광역시 남동구 남동서로316번길 41 (남촌동),032-822-2961,2023-09-16,126.701712333377,37.415656329033
80,81,㈜한결리싸이클링인천지사,김민수,재활용업(중간),인천광역시 남동구 논현고잔로54번길 33,031-313-3241,2023-09-16,126.713669615469,37.3876954935198
81,82,㈜미래메탈,김형준,재활용업(중간),인천광역시 남동구 고잔로61번길 9 (고잔동),032-446-1238,2023-09-16,126.71773888038,37.3916533661791
82,83,세운리싸이클,송선아,재활용업(중간),인천광역시 남동구 고잔로 88-1,032-429-8613,2023-09-16,126.716055353338,37.3892040576666
83,84,건영산업,조상학,재활용업(중간),인천광역시 남동구 음실서로 29,032-469-7762,2023-09-16,126.765377630793,37.4373630077763
84,85,그린폴리,김찬기,재활용업(중간),인천광역시 남동구 음실서로 67,,2023-09-16,126.765044537548,37.4338878560678
85,86,라성금속,한상식,재활용업(중간),인천광역시 남동구 청능대로 468번길 39,032-422-5502,2023-09-16,126.711232226652,37.3970579174546
86,87,㈜씨엔에스,오용순,재활용업(중간),인천광역시 남동구 고잔로 61,032-446-0388,2023-09-16,126.717549392036,37.3915324473793
87,88,㈜케이제이텍,이강재,재활용업(중간),인천광역시 남동구 논현고잔로 54번길 49,,2023-09-16,126.714561857269,37.3875312320716
88,89,(주)세종그린텍,박경순,재활용업(중간),인천광역시 남동구 논현고잔로 54번길 12-2,032-446-6866,2023-09-16,126.711790798792,37.3873540379527
89,90,건실업,조유리,재활용업(중간),인천광역시 남동구 고잔로 51번길 6,,2023-09-16,126.717386267687,37.392119702716
90,91,㈜디앤디산업,정지윤,재활용업(중간),인천광역시 남동구 앵고개로697번길 17-23,032-441-3233,2023-09-16,126.714420745677,37.3886821249637
91,92,흥기원엔프라㈜,JINCHENGZHE,재활용업(중간),인천광역시 남동구 청능대로484번길 28-17(고잔동),032-432-6682,2023-09-16,126.713717193392,37.397395444749
92,93,정석,김종열,재활용업(중간),인천광역시 남동구 논현고잔로110번길 52(고잔동),032-425-0889,2023-09-16,126.715905617612,37.3922863573707
93,94,(주)디에이치바이오 제2공장,정양주,재활용업(중간),인천광역시 남동구 운연로 150(운연동),032-473-1588,2023-09-16,126.766657204509,37.4380487794085
94,95,(주)하나리사이클링,이경근,재활용업(중간),인천광역시 남동구 고잔로73번길 5(고잔동),032-822-0991,2023-09-16,126.717356825236,37.3905773567133
95,96,(주)주비스,김양영,재활용업(중간),인천광역시 남동구 앵고개로719번길 26,,2023-09-16,126.718190549908,37.3895511925552
96,97,천보(주),안용휘,재활용업(중간),인천광역시 남동구 앵고개로697번길 85 1층,,2023-09-16,126.71549407026,37.3926855107292
97,98,(주)금철상사,양승호,재활용업(중간),인천광역시 남동구 논현고잔로130번길 29(고잔동),032-423-8831,2023-09-16,126.715635329708,37.394482663494
98,99,메탈릭스리파이닝아시아 유한회사,"에릭리너마이라, 이사벨피에스터",재활용업(중간),인천광역시 남동구 논현고잔로54번길 69(고잔동),,2023-09-16,126.715508444703,37.387417461673
99,100,㈜엔피지엠코리아,사토시케키,재활용업(중간),인천광역시 남동구 논현고잔로54번길 84-1,032-572-6866,2023-09-16,126.716208122386,37.386481901346
100,101,㈜에스제이바이오,김청운,폐기물처리신고,인천광역시 남동구 음실로75번길 42,032-465-6017,2023-09-16,126.767080217552,37.4350732946507
101,102,㈜현대비앤디,김청운,폐기물처리신고,인천광역시 남동구 음실서로 61-2,032-465-6017,2023-09-16,126.765717319095,37.43438249672
102,103,(주)미래엔텍(지점),이종탁,폐기물처리신고,"인천광역시 남동구 고잔로 46,50",032-423-8272,2023-09-16,,
103,104,㈜에스쓰리알,서종현,폐기물처리신고,인천광역시 남동구 음실서로 66,032-472-0062,2023-09-16,126.764757114864,37.4346024193585
104,105,㈜현대에코텍,최동철,폐기물처리신고,"인천광역시 남동구 논현동 442-41,47,49",032-818-2295,2023-09-16,,
105,106,인영재활용산업,황소연,폐기물처리신고,인천광역시 남동구 고잔동 380,032-442-4438,2023-09-16,126.717547661988,37.3915420841588
106,107,기전산업㈜,"한갑수,김종원",폐기물처리신고,인천광역시 남동구 남동동로 56,032-811-4000,2023-09-16,126.695348815079,37.3907757120769
107,108,㈜인천리사이클링,이기중,폐기물처리신고,인천광역시 남동구 청능대로 468번길 23,032-446-2578,2023-09-16,126.711254561105,37.397918535015
108,109,(주)대경이노텍,"허동욱,김현주",폐기물처리신고,인천광역시 남동구 음실서로 61-2,032-467-4872,2023-09-16,126.765717319095,37.43438249672
109,110,㈜세종그린텍,박경순,폐기물처리신고,인천광역시 남동구 고잔동 524-8,032-446-6866,2023-09-16,126.711913383339,37.3871890895193
110,111,건실업,조유리,폐기물처리신고,인천광역시 남동구 고잔로 51번길 6,,2023-09-16,126.717386267687,37.392119702716
111,112,인영재활용산업,황소연,폐기물처리신고,인천광역시 남동구 고잔로 61번길 20,032-422-4438,2023-09-16,126.71814617927,37.3910571417363
112,113,건실업,조유리,폐기물처리신고,인천광역시 남동구 고잔로 51번길6,,2023-09-16,126.717386267687,37.392119702716
113,114,㈜로지스원,홍성호,폐기물처리신고,인천광역시 남동구 논현고잔로 117(고잔동),032-446-7770,2023-09-16,126.711941700252,37.394249369507
114,115,㈜에스쓰리알 남동지사,서종현,폐기물처리신고,인천광역시 남동구 음실로 67(운연동),032-472-5670,2023-09-16,126.767302962694,37.4374330382865
115,116,대진자원,임경섭,폐기물처리신고,"인천광역시 남동구 호구포로 866번길 26, 3층(구월동)",032-431-1226,2023-09-16,126.721578963843,37.45934786585
116,117,㈜에스쓰리알,서종현,폐기물처리신고,인천광역시 남동구 음실서로 66(운연동),032-472-0062,2023-09-16,126.764757114864,37.4346024193585
117,118,하나리사이클링,이경근,폐기물처리신고,인천광역시 남동구 고잔로73번길 5 (고잔동),032-822-0991,2023-09-16,126.717356825236,37.3905773567133
118,119,㈜서한상사,한상애,폐기물처리신고,인천광역시 남동구 고잔로73번길 5 (고잔동),032-421-2328,2023-09-16,126.717356825236,37.3905773567133
119,120,㈜동광유지,박수근,폐기물처리신고,인천광역시 남동구 고잔로73번길 5 (고잔동),,2023-09-16,126.717356825236,37.3905773567133
120,121,동화산업㈜고잔지점,김종석,폐기물처리신고,인천광역시 남동구 앵고개로697번길 50(고잔동),032-430-6000,2023-09-16,126.715301119519,37.391031855385
121,122,지우자원,김민경,폐기물처리신고,인천광역시 남동구 고잔로21번길 17(고잔동),,2023-09-16,126.717122710967,37.3953312068976
122,123,희망자원,고영하,폐기물처리신고,"인천광역시 남동구 호구포로 120번길 54, 1동(고잔동)",032-814-2442,2023-09-16,126.707048890065,37.3931461247391
123,124,㈜성규푸드시스템,김현주,폐기물처리신고,"인천광역시 남동구 음실서로 61-2, 2층(운연동)",032-464-0230,2023-09-16,126.765717319095,37.43438249672
124,125,케이앤에스무역,이병찬,폐기물처리신고,인천광역시 남동구 앵고개로 437,032-813-9342,2023-09-16,126.689243116784,37.3993008505444
125,126,㈜판토스,최원혁,폐기물처리신고,인천광역시 남동구 논현고잔로 117,032-446-9002,2023-09-16,126.711941700252,37.394249369507
126,127,㈜세마테크,이설화,폐기물처리신고,인천광역시 남동구 음실서로 61(운연동),032-721-4444,2023-09-16,126.765394765905,37.4346971218215
127,128,바삭한이야기,연보라,폐기물처리신고,인천광역시 남동구 음실서로 61-2,032-464-4567,2023-09-16,126.765717319095,37.43438249672
128,129,지구자원,구대용,폐기물처리신고,인천광역시 남동구 고잔로41번길 29-3(고잔동),,2023-09-16,126.718750355323,37.3934382634213
129,130,명인자원,김인호,폐기물처리신고,인천광역시 남동구 수골로 103(도림동),,2023-09-16,126.720439174282,37.4139070000619
130,131,㈜현대에코텍,"최동철,이경선",폐기물처리신고,인천광역시 남동구 남동대로262번길 30-43 (논현동),032-818-2295,2023-09-16,126.701251693384,37.4052693280969
131,132,조이코퍼레이션,김장진,폐기물처리신고,"인천광역시 남동구 논현고잔로54번길 58, 일부(고잔동)",,2023-09-16,126.714805958633,37.3870924834761
132,133,쿠킹케어,정관철,폐기물처리신고,"인천광역시 남동구 서창남순환로110, 304동 1301호",,2023-09-16,126.74660052065,37.4301376675337
133,134,지우자원,김민경,폐기물처리신고,인천광역시 남동구 고잔로21번길 17(고잔동),,2023-09-16,126.717122710967,37.3953312068976
134,135,(주)대국환경기업,박선해,폐기물처리신고,인천광역시 남동구 고잔로63-11(고잔동),,2023-09-16,126.717943788041,37.3910648584431
135,136,(주)대국환경기업,김현우,폐기물처리신고,인천광역시 남동구 고잔로63-11(고잔동),,2023-09-16,126.717943788041,37.3910648584431
136,137,(주)동호철재,한길남,폐기물처리신고,인천광역시 남동구 청능대로484번길 8-14(고잔동),032-816-5916,2023-09-16,126.713164468889,37.3985566897172
137,138,(주)동호철재,한길남,폐기물처리신고,인천광역시 남동구 청능대로484번길 8-14(고잔동),032-816-5916,2023-09-16,126.713164468889,37.3985566897172
138,139,제이에스그린(주)남동지사,김정수,폐기물처리신고,"인천광역시 남동구 고잔로51번길 6, 2층 나동",,2023-09-16,126.717386267687,37.392119702716
139,140,㈜에스쓰리알,서종현,폐기물처리신고,인천광역시 남동구 음실로 67,032-472-5670,2023-09-16,126.767302962694,37.4374330382865
140,141,우리유지,남태우,폐기물처리신고,인천광역시 남동구 담방로21번길 24,032-464-0230,2023-09-16,126.736804489918,37.4418411497001
141,142,명민산업㈜,오현숙,폐기물처리신고,인천광역시 남동구 고잔로 47-2,032-433-2343,2023-09-16,126.717770089886,37.3925157165434
142,143,정일자원,이기봉,폐기물처리신고,인천광역시 남동구 장도로 20,,2023-09-16,126.736102686931,37.4038092566239
143,144,푸른유통,김재식,폐기물처리신고,인천광역시 남동구 운연로 150 01호,,2023-09-16,126.766657204509,37.4380487794085
144,145,유진,이미영,폐기물처리신고,인천광역시 남동구 운연로 150 02호,,2023-09-16,126.766657204509,37.4380487794085
145,146,경원유지,이경미,폐기물처리신고,인천광역시 남동구 운연로 150 03호,,2023-09-16,126.766657204509,37.4380487794085
146,147,조은유지,김기선,폐기물처리신고,인천광역시 남동구 운연로 150 04호,,2023-09-16,126.766657204509,37.4380487794085
147,148,미소유통,이범희,폐기물처리신고,인천광역시 남동구 운연로 150 05호,,2023-09-16,126.766657204509,37.4380487794085
148,149,연화유통,한창영,폐기물처리신고,인천광역시 남동구 운연로 150 06호,,2023-09-16,126.766657204509,37.4380487794085
149,150,지현유통,박영석,폐기물처리신고,인천광역시 남동구 운연로 150 07호,,2023-09-16,126.766657204509,37.4380487794085
150,151,재영유지,양재영,폐기물처리신고,인천광역시 남동구 운연로 150 08호,,2023-09-16,126.766657204509,37.4380487794085
151,152,희정유지,남만우,폐기물처리신고,인천광역시 남동구 운연로 150 09호,,2023-09-16,126.766657204509,37.4380487794085
152,153,경기유지,이대건,폐기물처리신고,인천광역시 남동구 운연로 150 10호,,2023-09-16,126.766657204509,37.4380487794085
153,154,미현바이오,최춘석,폐기물처리신고,인천광역시 남동구 운연로 150 11호,,2023-09-16,126.766657204509,37.4380487794085
154,155,승리유지,이승욱,폐기물처리신고,인천광역시 남동구 운연로 150 12호,,2023-09-16,126.766657204509,37.4380487794085
155,156,태경유지,이광훈,폐기물처리신고,인천광역시 남동구 운연로 150 13호,,2023-09-16,126.766657204509,37.4380487794085
156,157,글로벌유통,장만길,폐기물처리신고,인천광역시 남동구 운연로 150 14호,,2023-09-16,126.766657204509,37.4380487794085
157,158,처음처럼,김대영,폐기물처리신고,인천광역시 남동구 고잔동 198-3외 1필지 1호,,2023-09-16,,
158,159,처음처럼,김대영,폐기물처리신고,인천광역시 남동구 고잔동 198-3외 1필지 1호,,2023-09-16,,
159,160,㈜성규푸드시스템 인천,홍성희,폐기물처리신고,인천광역시 남동구 음실서로 61-2,032-464-0230,2023-09-16,126.765717319095,37.43438249672
160,161,영화자원,김낙녀,폐기물처리신고,"인천광역시 남동구 논곡로 58, 3층",,2023-09-16,126.713188184921,37.4166011496952
161,162,소유홈,전경진,폐기물처리신고,인천광역시 남동구 논현로 45,,2023-09-16,126.71456827016,37.4034404523324
162,163,㈜나로드니,엄인영,폐기물처리신고,인천광역시 남동구 함박뫼로347번길 21,1833-7857,2023-09-16,126.702351042483,37.4145664481665
163,164,㈜미래엔텍(지점),이종탁,폐기물처리신고,인천광역시 남동구 고잔로 50,032-423-8272,2023-09-16,126.716738663087,37.3925914588219
164,165,인천남동지역자활센터,김인경,폐기물처리신고,인천광역시 남동구 만수로 12-6,032-464-4319,2023-09-16,126.730744343023,37.4580417361951
165,166,한얼교역,연규한,폐기물처리신고,인천광역시 남동구 도림북로16번길 29,,2023-09-16,126.732928599197,37.4244905534449
166,167,가을향기1,최수혁,폐기물처리신고,"인천광역시 남동구 에코중앙로 25-10, 에이동",,2023-09-16,126.714913212449,37.3862328081343
167,168,㈜인천리사이클링,이기중,폐기물처리신고,인천광역시 남동구 청능대로468번길 23,032-446-2578,2023-09-16,126.711254561105,37.397918535015
168,169,오일마트,유선범,폐기물처리신고,인천광역시 남동구 서창남순환로 124-14,,2023-09-16,126.743837754339,37.4304258039131
169,170,세광산업,이융재,폐기물처리신고,인천광역시 남동구 서창남순환로 200,,2023-09-16,126.747160563108,37.4235924522438
170,171,㈜벙글다,이재훈,폐기물처리신고,인천광역시 남동구 구월로40번길 29,032-437-3311,2023-09-16,126.694623069218,37.4560309832836
171,172,태선자원,김영식,폐기물처리신고,인천광역시 남동구 고잔로41번길 50,,2023-09-16,126.719875999356,37.3926274948405
172,173,㈜세종바이오,김남순,폐기물처리신고,인천광역시 남동구 음실로 60(운연동),,2023-09-16,126.766924198347,37.438236086311
173,174,서창바이오,김성철,폐기물처리신고,인천광역시 남동구 서창남순환로 190-15 719동 1001호,,2023-09-16,126.744960443984,37.4232096600755
174,175,㈜욱성산업,박정배,수집운반업,"인천광역시 남동구 장자북로 26, 2층(장수동)",032-463-3155,2023-09-16,126.752669887778,37.4515015561891
175,176,㈜세종인바이런먼트,박성호,수집운반업,인천광역시 남동구 고잔동 512-26,032-812-6283,2023-09-16,126.70813827444,37.3847664493403
176,177,㈜드림월드개발,이경화,수집운반업,인천광역시 남동구 논현고잔로155번길 12(고잔동 150),032-467-0070,2023-09-16,126.714716306001,37.3969246443672
177,178,㈜이알지서비스,심연규,수집운반업,인천광역시 남동구 남촌동622-10(남동공단 12블록 11로트),032-822-2961,2023-09-16,126.701351057334,37.4158327368615
178,179,㈜세명이앤지,남승린외1,수집운반업,인천광역시 남동구 고잔동 631 산업용품상가 B동 354호,032-817-0361,2023-09-16,126.693120289822,37.4065238023357
179,180,삼호환경㈜,이삼형,수집운반업,"인천광역시 남동구 하촌로 51번길3, 2층(만수동)",032-467-0142,2023-09-16,126.732643915729,37.4524695154205
180,181,(주)제일지앤아이,이정재,수집운반업,"인천광역시 남동구 담방로 105, 주공아파트단지내상가 702동 206호(만수동)",032-467-6667,2023-09-16,126.739894177193,37.450427875322
181,182,남동에너지㈜,배재현,수집운반업,인천광역시 남동구 고잔동728-7(남동공단157블로9로트),032-812-0871,2023-09-16,126.697005804869,37.3880434824677
182,183,㈜가로수환경,김장규,수집운반업,인천광역시 남동구 고잔동 630 남동공단 공구상가 A동 225,032-812-7987,2023-09-16,126.693536358955,37.4070865754912
183,184,청운환경㈜,이구호,수집운반업,인천광역시 남동구 고잔동 630-1 공단산업용품상가 A/236,032-811-6402,2023-09-16,,
184,185,대산금속,강승호,수집운반업,인천광역시 남동구 만수동 1086 창대장터상가 6동 105호,,2023-09-16,126.73609380637,37.4460604466729
